"Reference","Value","Qty","Footprint","Description"
"C1,C11,C13,C16,C17","100n","5","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor"
"C2,C3,C4,C5,C6,C7,C8,C9,C15","100u","9","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor"
"C10,C14","470u","2","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_HandSolder","Polarized capacitor"
"C12","220n","1","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor"
"D2","D_Schottky","1","Diode_SMD:D_1206_3216Metric","Schottky diode"
"D3,D4","LED","2","LED_SMD:LED_0805_2012Metric","Light emitting diode"
"J1","Solar","1","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","Batt","1","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1","33u","1","000_victor:Inductor_6060_2424","Inductor"
"Q1,Q2","AO3401","2","Package_TO_SOT_SMD:TSOT-23","P-MOSFET transistor, gate/source/drain"
"Q3","AO3414","1","Package_TO_SOT_SMD:TSOT-23","N-MOSFET transistor, gate/source/drain"
"R1","0.1","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R2,R9","200K","2","Resistor_SMD:R_0805_2012Metric","Resistor"
"R3","2K2","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R4","20K","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R5","1k","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R6","220K","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R7","56K","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R8","120","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"R10,R11","1M","2","Resistor_SMD:R_0805_2012Metric","Resistor"
"R12","10k","1","Resistor_SMD:R_0805_2012Metric","Resistor"
"SW1","SW_Push","1","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","Push button switch, generic, two pins"
"TP1","+BATT","1","TestPoint:TestPoint_Pad_D1.0mm","test point"
"TP2","+SOLAR","1","TestPoint:TestPoint_Pad_D1.0mm","test point"
"TP4","3V3","1","TestPoint:TestPoint_Pad_D1.0mm","test point"
"U1","CN3791","1","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm",""
"U2","XB8089D0","1","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm","2.9V~6V Lithium-ion/Polymer 1 SOP-8-EP Battery Management ROHS"
"U3","TLV803EA29","1","Package_TO_SOT_SMD:SOT-23","150-nA, Ultralow Power, Supply Voltage Monitor, SOT-23"
"U4","HT-RA62","1","000_victor:HT-RA62",""
